Dataset,Accuracy,Macro F1-Score,CV Macro F1 (mean),CV Macro F1 (std),Best C,Best gamma
Normalized,0.621875,0.3156864947656814,0.36339393225905015,0.06079879597717403,10,0.1
Interactions,0.615625,0.38335786823690055,0.34905278684332763,0.081299659631306,100,0.1
PCA,0.6375,0.41000025870543794,0.36444051837256863,0.08117861068579019,100,auto
